content	genre	release_year	title	country	len_plot	content_aug_de	content_aug_ru
Set in early 20th century New England the film is about a serial killer who is murdering disabled young women in the community. His next victim apparently is Helen she is a mute girl working as a livein companion for the wealthy bedridden Mrs. Warren who urges her to leave the house as does Dr. Parry who knows the reason for Helen's loss of speech and hopes to help her get her voice back. Rounding out the household are Mrs. Warren's son and stepson her verballyabused nurse a secretary a handyman and his wife a housekeeper with a taste for brandy.	thriller	1946.0	The Spiral Staircase	"{""/m/09c7w0"": ""United States of America""}"	132	Set in the early 1900s in New England, the film is about a serial killer who kills young women in the community whose other victim is apparently Helene - a mute friend of a wealthy and bed-ridden Mrs. Warren who urges her to leave the house -- like Dr. Parry, who knows the reason for Helen's loss of speech and hopes to recover her voice.	The film is set fast in Premier League New England in the early 20th century, a serial killer who kills underage, disabled women in his community and whose next victim is Helen, a mutant girl who works as the rescuer to Warren's bedridden sister who coaxed her out of the house, as is Dr. Parry, who knows the cause of Helen's speech loss and hopes to help her speak again.
Safedesigner Richard Logan  comes to consciousness on a patch of waste ground with no recollection of how he came to be there. Assuming he must have been attacked and hit over the head but feeling no apparent illeffects he returns home to wife Julie  to apologise for being late and tell his story. He is astonished to learn from Julie that he has been missing not for a few hours but for three weeks. Furthermore a troubling series of events has occurred during his absence which appear to point to his involvement in criminal activity. A safe which he personally installed in a large house has been robbed and its contents stolen with no explanation as to how its supposedly foolproof security mechanisms were so easily overridden. In an attempt to trace her missing husband Julie has employed a private detective who discovered evidence implicating Richard of involvement with another woman and more seriously the private detective has recently been found murdered. Richard enlists Julie's help in trying to recover his memory of the peculiar goingson of which he has no recollection. He soon becomes aware that he is being trailed by a group of mysterious men. Meanwhile in his confused mental state he is constantly tantalised by seemingly random and trivial things – a snatch of a popular song or a conversational nuance – which seem to strike a chord with him for reasons for which he cannot account. He starts to experience flashbacks so momentary and fleeting that they are gone before his conscious mind can seize them. He begins to question the validity of the assumptions under which he is working wondering if he may indeed have been involved in criminal activity which his mind has blocked out as a defence mechanism and even begins to doubt Julie's integrity questioning whether she may have far more knowledge of and personal involvement in what has been happening than she is letting on. Matters reach a head when he is lured to a country house and confronts a group of men in possession of a bomb. The resulting intrigue finally appears to jolt his memory back into place and he believes he has found the explanation for what has been going on.	thriller	1961.0	Pit of Darkness	British	431	The security architect Richard Logan comes to mind in an area of store where he finds himself dead, as be黚️ about a mysterious dinner meeting with a male, and is told by Julie that this man has been missing not for a couple of hours, but three weeks. clash of events that seems to suggest Guan's involvement in criminal activity are a horrible story that he himself had personally installed in a large house and that the contents were stolen and robbed in the madness. Richard calls on Julie for help, which he may not even forget, if he are to find his missing husband Jule. In an attempt to track down a neglectful woman who indicates his involvement, and in a serious case involving Robinson recently, it was discovered that there had been a murder.	He was surprised to learn from Julie that he had gone missing not for hours, but for three weeks.
Browne is the wealthy reclusive man who enjoys hunting down human beings like wild game. In this adaptation Browne is transformed into a British traitor hiding in the Mexican jungle with his fellow Nazi war criminal and brotherinlaw Colonel Von Andre . When their plane is forced to land in Browne's domain writer Mike Latimer and reporter Katy Conners are welcomed as guests. However when Latimer finally recognizes his host and realizes he and Katy are in danger he and Katy escape to the jungle with Browne and Von Andre in hot pursuit with their hunting dogs.	thriller	1956.0	Run for the Sun	"{""/m/09c7w0"": ""United States of America""}"	119	"Browne is the wealthy private citizen who enjoys hunting people like a play on game. In this adaptation Browne transforms himself into a British traitor who has hidden away in publications in the Mexican jungle with his Nazi war criminals and controversial brothers Colonel Von Andre. When their plane is forced to land during Browne's reign, the writer Mike Latimer and reporter Katy Conners are welcomed as guests. As Latimer finally notices his host and realises that he and Katy get into danger, he and Katy and Browne and Von Andre fly off to the jungle with their forerunners, hunting for their ""real adventures"" together with their hunting dogs."	When his plane is made to land in Brown's world, writer Mike Latimer and journalist Katie Conners are invited as a guest, a significant success; however, when Latimer finally realizes his master - and realizes that he and Katie are in danger - Brown and Katy fly out to the jungle to hunt down their hunting dogs...
The film starts in San Diego. Lew finds out that his wife is having an affair with another man. He grabs his gun and goes to seek revenge but finds both of them dead in the bed. He fears that the police would suspect him because he has had a bad past so he dumps the bodies and his gun in the sea along with his boat. He leaves for a new life. Lew starts a new life working as a sign board maker and gets a new girlfriend Rita . One evening while erecting a signboard on the side of a road he overhears Isobel and Ralph discussing the kidnapping and murder plot of Ralph's wife Florence . He soon plots his own plan to pinch the ransom. At the same time Herbert  brother of the man Lew's wife had affair with comes following Lew thinking that Lew murdered his brother. Ralph kidnaps his wife Florence with the help of his girlfriend Isobel and keeps her in a boat. Lew has been following them and takes Florence away from the boat. Then he phones Ralph anonymously threatening to call police unless he cuts him in for half the ransom money. Ralph agrees. Ralph and Isobel suspect that it is Florence who has some accomplice of her own and is blackmailing them. Lew sends Rita to get the money from Ralph. But Lew's plans turns awry when Herbert interrupts and kills Florence. When Rita comes back she finds Herbert struggling with Lew and shoots him dead. She later finds that the money she brought from Ralph is fake. Lew goes to Isobel and Ralph to ask them about the real money. In the meanwhile Rita tips the police. Soon police comes and arrests Lew Ralph and Isobel. Lew is released on the verdict of Rita who had hidden the real money herself.	thriller	2004.0	Three Way	"{""/m/09c7w0"": ""United States of America""}"	363	The film opens in San Diego. = = Lev learns that his wife is having a fling with Ralph Herbert, and he picks up his gun and goes for revenge, but finds her in bed, afraid the police will suspect him of having a bad past, so he lets the bodies and his gun drop into the sea along with his boat: = And so he begins his new life as a sign-maker and gets a new girlfriend Rita, and one night while putting up a sign at the side of a road he fails to notice kann's girlfriend, struggling Isobel, and Ralph to discuss his wife Florence's kidnapping and murder plans -not long after Dave realises his plan to pinch the ransom money.	Lew discovers his wife has an affair with a different man. He passes a gun and takes revenge, though he finds the two of them dead in bed. Lew is scared the police will be suspicious because he had a bad past, which led him to dump corpses and his weapons at sea with his boat. He sets out on a new journey. Lew begins new life as a signage painter and finds his new girlfriend Rita.
Modesty Blaise is working as a croupier in a casino in Tangier. A group of violent criminals assassinate her employer and enter the casino shooting staff and demanding entry to the casino's safe. Modesty delays her retaliation and retribution as she protects the lives of her staff. When the criminals kill the only person who can open the safe Modesty arranges for a fellow employee to arrive who has the password for the computer that holds the details of the entry to the vault. As the criminals and their captives await the individual Modesty takes on the leader of the criminals at the game of roulette. They agree that if she wins twice in a row a captive sworn to not tell what happened is released when she loses she has to tell the truth about her background to the leader of the criminals who has become fascinated by her. She relates her life story little by little in the manner of Scheherazade. Modesty tells her life story in flashback beginning as an orphaned child in a refugee camp in the Balkans to her meeting her mentor who teaches her his knowledge of various languages and martial arts until his death in Algeria where she makes her way to Tangier and becoming a croupier. The criminals eventually enter the safe but are confronted with a revenging Modesty.	thriller	2003.0	My Name is Modesty	"{""/m/09c7w0"": ""United States of America""}"	262	Modest Blaise works as a de融@-@ Anhängern (croupier) at a Tangier casino. A murder squad murders her employer and she enters the casino team and gains entry to the safe of the casino. Modesty modestly delays her retribution and retaliation as all of her staff is Agatha. When the criminals kill the only person who can open the casino, Modesty arranges the arrival of another employee, who has the password for the computer on which access to the safe is documented. As the criminals and their 陽ler (lecturer) wait for him to facilitate Higgins in roulette, they position the criminals, again telling the driver's life story, a once-in-a-a-lifetime winner in the manner as claimed by Schehhige. Modesty tells the two stories in flashback, first as an orphan refugee in Beyond Tannuli.	As the criminals and their captives lay in wait for Individual Modesty to attack the criminal leader at Roulette. They accept that if she wins, the prisoner vows not to report what happened ż when she loses, but contact occurs when she must tell the truth about her past to the criminal ringleader she has fallen in love with. She uses the Shecherazade to re-imagine her real-life stories.
The film takes place in an isolated desert compound called Clonus where clones are bred to be used as replacement parts for the elite including a soon to be presidentelect Jeffrey Knight Peter Graves . The clones are kept isolated from the real world by workers of the colony but are promised to be accepted to move to America after they have completed some type of physical training. After a group of clones is chosen to go to America they are given a party and a farewell celebration with their fellow clones. The chosen clones are then taken to a lab where they are sedated and placed in an airtight plastic bag and their bodies are frozen in order to preserve their organs for harvest. The story surrounds one clone Tim Donnelly who begins to question the circumstances of his existence and eventually escapes the colony. Pursued by compound guards the clone enters a nearby city. He is found by a retired journalist who takes him to his sponsor who happens to be the brother of Jeffrey Knight. Knight's brother Richard  and his son  argue over what to do with the clone . Richard's son returns the clone to the colony to reunite with his newly developed love interest  only to find a trap waiting for him the clone is subsequently killed and frozen. Meanwhile Knight along with hired thugs of the Clonus project arrive to interrogate Richard and his son and both are murdered as part of Clonus' coverup. Knight is seemingly killed in the ensuing struggle with his brother but reappears the next day at a press conference where he is stunned to find that the late journalist had managed to disseminate a secret tape to the news media exposing the Clonus project.	horror	1979.0	Parts: The Clonus Horror	"{""/m/09c7w0"": ""United States of America""}"	359	The film is about a clone who questions the circumstances of its existence and ultimately escapes from the colony; the clones are put into a laboratory where they are sedated and put into an airtight plastic bag to store their organs for harvesting; news also comes in that Knight tells his version of a former CIA official who happened to find Jeffrey Knight's brother and his daughter Cher, whom arresting him while Richard and his son fall Kilograms prompting a trap ॐ ຸ. Richard returns with his newly recruited brother to re于in a reaction project that expects to catch up again with the failed clone. Meanwhile, my parents face the alternative, who completed a month earlier, before he goes back again and leaves Germany.	The film takes place in an isolated desert town called Clonus, where clones are recruited into the elite, including Jeffrey Knight's long-term equally chosen successor Peter Graves. Clones are BRUGE segregated by colony workers but promised to be admitted to the United States after completing physical training.
As part of a project are sent to a place called Littletown to investigate and research a supposedly deceased German expatriate rocket scientist named Frederick Bartholomew who it seems was supposedly responsible for the V2 rocket before embarking on a murderous rampage slaying all who he worked with in his final days spent here in America. In Honor of this achievement our project student group have got to make replicas of the rockets whilst at that location. A trio of this select members wind up stumbling across a pair of demented brothers one Mabuser is an unlicensed doctor who's become mentally unhinged due to being convince destructive parasites have infested his brain while his stuttering teenage brother Gary is a shy and lonely psychopath with a thing for Tarot cards and concealed necrophiliac tendencies. All the while their father prowls the nights' lonely highways dressed in one of his previous victims...as of all things Richard Nixon .	horror	1985.0	Horror House on Highway Five	"{""/m/09c7w0"": ""United States of America""}"	194	To honor this achievement, our project students have torn out the copies that have been torn down. A trio of this select group stumbles across two demoralized brothers and one Mabuser is an unlicensed slide doctor who is mentally deranged because he thinks he's infected by destructive parasites, while sichern his sputtering teenage brother Gary is a shy, lonely psychopath with 房 Tarot-Karte and hidden necropathy and killing Richard Nixon. As their father charms the lonely motorways supporters of one of his last victims, the late hermits pursue in their youth not as yet 100 years ago.	"In honor of this achievement, a group of students set out on a mission to visit Littautown to investigate a suspect scholar, a German athletic scientist named Frederik Figen, who is apparently responsible ""for the V2 rocket,"" before going on to wage mass murder against everyone and everyone he has worked with in the last few days here in America."
Three years ago a team of astronaut miners completed a daring space expedition. They embarked on their journey home but by the time the craft returned to Earth their commander had gone mad—taking a terrible secret with him to a heavily guarded state asylum for the insane. Today archeologist Lloyd Walker and entomologist Marianne Winters are among a select group of people who are questioning a possible link between the tragic space mission the mystery of the commanders madness and a series of bizarre disappearances and strange accidents in San Francisco. The answer arrives when they stumble upon an underground colony of insectlike creatures harvesting human bodies for survival. Liz now an employee of the mayors office knows all too well the secret of the aliens. She is their Earth Queen. The citys highest representatives are her consorts. With police and government officials taken over by aliens masquerading as humans Lloyd and Marianne realize they can trust no one except Phillips the one man who knows the ultimate goal of the aliens. He also holds the mysterious key to their defeat—its in his blood. He is the commander himself—the sole mission survivor being held as prisoner. Lloyd and Marianne must find him before he becomes a victim of an unearthly experiment.	horror	2006.0	Final Days of Planet Earth	"{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}"	266	Three years ago a team of astronaut miners was put through a safety check on a risky expedition, and now that the ship has returned to earth, her commander has brought an awful secret with him to a closely guarded state asylum for the mentally deficient. Today, archaeologist Lloyd Walker and entomologist Marianne Winters are among a select group of individuals who question the possible link between the tragic space brachte, the bogey 誡 madness mystery of 淹macht, and a series of bizarre-seeming kidnappings in San Francisco. Their answer turn comes when they come across an underground colony of insects harvesting human bodies for survival. Liz, a worker in the town hall's office, now knows the mystery of aliena; she is her earth queen. Women will be the highbrow representatives but as police and government officials takeover Lloyd	Today, archaeologist Lloyd Walker and entomologist Wells are part of a select group raising questions whether a tragic crew in space, a tangled team of mysterious accountants investment insanity, and a string of strange disappearances and unexpected opportunities locate in San Francisco could be connected.
Dr. John Beck recently married decides to take his wife Cathy spelunking in Carlsbad Cavern. While there Dr. Beck who specializes in bats is bitten by a fruit bat. He is then inexplicably transformed into a vampire bat. While he escapes and seeks help from another doctor it is clear the treatments are not working. In fact they are aggravating his condition. Dr. Beck unwittingly goes on a killing spree catching the attention of Sergeant Ward.	horror	1974.0	The Bat People	"{""/m/09c7w0"": ""United States of America""}"	104	Short couple makes rich his wife Cathy ３ (Cathy) at the Carlsbad cave. Dr. Beck, who specializes in bats, is bitten by a flying bat and inexplicably turns into a vampire bat. On the run he looks for the help of another doctor. It is clear that the treatments do not work but, rather, worsen his condition. Dr. Beck unwittingly goes on a murder spree and attracts the attention of Sergeant Ward.	Recently married Dr John <unk> decides to drive his wife Kathie to the Kibad Cave where Dr <unk>, a bat specialist, is being killed with a fruit elite bat.
High school student Alice convinces her lover Luc  to murder their classmate Saïd  whom she claims raped her. When they dispose of his body in the woods late one night the couple get lost on their way back to their car and are taken in by a mysterious hermit . However matters take a bizarre twist when the stranger locks the young lovers in his basement along with the dead body of Saïd and reveals that he plans to eat them. The stranger harnesses Luc and convinces for sex. He finally gives Luc an option to survive with his girlfriend  Luc finally shares bed with stranger and gets away from the forest without killing his rapist. When the couple comes out of forest they find the police near their car and the police comes to know about their murder and the strange hermit also gets arrested. Luc gets arrested as he gets caught into a bear trap and Alice tries to run away and finally she gets shot by police. In the final sequence the apprehended Luc attempts to stop the police who are beating the forester up but all in vain. He is carried to the city in the police car. That is how the movie ends.	horror	2000.0	Criminal Lovers	"{""/m/0f8l9c"": ""France""}"	235	The girl at the high school now persuades her lover Luc to kill her classmate Saïd, whom she claims raped, but when the stranger turns on the two in the woods later that night and reveals that he would like to kill them, it is not long before the stranger takes advantage of Luc and persuades him to have sex. He prepares to survive with his girlfriend Luc, finally shares the bed with a stranger, and flees from the woods without killing the rapist. As the couple come from a forest, the policemen are found by the robbers close ˆ ˜ s car and the strange hermit is arrested. Luc is arrested when he tucks 18.5 kilograms of carrots with his hands into the fishing books to sift around enough explosives to keep the perpetrators in benachter's, and Alice is finally shot dead by the police.	After only four hours, the strange stranger locks up his young lovers in the cellar with Saeed's corpse and reveals his plans to eat them.
Tanner is a desperate prisoner who escapes from jail and promptly murders an innocent farmer named Matthew Random. Stealing Random's horse and gun the outlaw promptly makes his escape. Finding his twin brother murdered Lucius Random vows revenge and sets off to find the killer. Although he does not know the identity of the killer Random knows that he is part of the nefarious Checker Gang and can be identified by the gun he stole from Matthew which is one of a unique set of two that the brothers Matthew and Lucius owned between them.	western	1957.0	Flesh and the Spur	"{""/m/09c7w0"": ""United States of America""}"	110	Tanner is a desperate prisoner fleeing the prison and promptly murdering innocent farmer Matthew Random. As Random Group steals the rods and the pistol, an identical deer succeeds, while the outlaws are on the run. When prises the assassinated twin brother Lucius Random, investigators vow revenge and set about finding the assassin. Although Random doesn't exactly know that the killer was from the nefarious Checker Gang, he knows that he belonged to the Checker Gang, and that his rifle - stolen from Matthew - could be one of two unique devices the brothers Matthew and Lucius owned between them - helps identify him Ausnahme.	Tanner may be a desperate prisoner who breaks out of prison and promptly murders an innocent farmer named Matthew and Rand, but Randall's theft of his horse and gun by a criminal results in his escape.
Joe Daylight is on the run along with members of his outlaw gang The Kid Doc and Henri. After fleeing from a bank robbery they manage to elude the posse chasing them after crossing into Mexico. The gang had agreed to meet up later to divide up the money however Daylight instead uses the money to buy a ranch the Casa Grande. Although several of them protest the gang agrees to follow Daylight to the ranch. They are soon joined by The Traveler who has recently joined the gang and leads them to the ranch. Daylight plans to use the ranch as a cover to rustle cattle from his neighbors and sell them at inflated prices across the border. However his comrades soon adapt to life on the ranch. The Traveler and The Kid meet two women named Dona Maria de Castellar and Pacesita with whom they eventually fall in love. Daylight's plans are temporarily threatened by another bandit gang led by Rojo who begins stealing cattle from numerous ranches in the area including his own. Organizing the local ranchers against the bandits they succeed in chasing off Rojo. This has an unintended consequence however as Daylight's men have decided to remain at Casa Grande. He and his men begin to argue and during the course of events shoots and kills Doc causing The Traveler to kill Daylight in turn. With their former leader dead the men stay on the ranch and The Traveller and Maria begin a new life on the Casa Grande.{{cite web}}	western		Gunfighters of Casa Grande	"{""/m/09c7w0"": ""United States of America"", ""/m/06mkj"": ""Spain""}"	309	"Joe Daylight and other members of his gang The Kid Doc and Henri is on the run and escapes them - after he has defected to Mexico. Daylight agrees to share the money, but Daylight instead makes use of the money to buy a ranch, Casa Grande. Despite protests from several members, the gang agrees to follow Daylight to the ranch. Quickly, they adapt to life at the ranch and come to the ranch. kammer Daylight plans to use the ranch as cover for ranching with his neighbors and launches a [13] Genossen. Daylight's plans for the time being are sandwiched in between and is led by a bandit gang called ""Rojo,"" who begins to steal livestock from his various ranches. On their way, they meet as the Rojo do-gooders, and are asked whether they can get away from"	But his friends will soon adapt to life at the ranch, negotiating with a host of wayward Travellers who 麗have recently joined the gang and brought them back to the ranch. Traveler and Kid open themselves to the hitmen who eventually love them.
